Unique ID,Asset ID (Client),Parent Asset,Address,Level,Sub Location,Asset Category (L1),Asset Category (L2),Asset Category (L3),Asset Category (L4),Item Description,Condition Rating (0-5),Condition Rating Label,Photo 1,Photo 2,Quantity,Unit of Measurement,Width (mm),Depth (mm),Height (mm),Screen Size (inches),Make / Brand,Model,Serial Number,Asset Tag / Label,Colour / Finish,Comments / Recommendations,Unit Rate - RCN ($),Estimated Replacement Cost ($),Remaining Useful Life (%),Indemnity Value ($),Insurance Schedule Category,Effective Life (years),Cost Source
200001,,,,,,Furniture,Seating,Task Chair,Mesh / Mid-Back Ergonomic,"Ergonomic mesh task chair, adjustable lumbar & armrests",,,,,1,ea,670,640,1100,,Buro,Metro II,,,Black Mesh,,650,650,,487.5,Contents,12,"Source: Winc, approx AUD $649, 2025"
200002,,,,,,Furniture,Seating,Task Chair,Mesh / Mid-Back Fixed Arms,"Mid-back mesh task chair, fixed arms",,,,,1,ea,650,620,1050,,Rapidline,EG100,,,Black Mesh,,450,450,,337.5,Contents,12,"Source: Officeworks, approx AUD $449, 2025"
200003,,,,,,Furniture,Seating,Task Chair,Leather / High-Back,"High-back leather executive chair, chrome base",,,,,1,ea,700,700,1250,,Buro,Roma,,,Black Leather,,900,900,,675,Contents,12,"Source: Winc, approx AUD $899, 2025"
200004,,,,,,Furniture,Seating,Task Chair,Fabric / Budget,"Budget fabric task chair, fixed height arms",,,,,1,ea,600,580,960,,Rapidline,Vesta,,,Grey Fabric,,280,280,,210,Contents,10,"Source: Officeworks, approx AUD $279, 2025"
200005,,,,,,Furniture,Seating,Task Chair,Mesh / Premium Herman Miller,"Premium ergonomic task chair, fully adjustable",,,,,1,ea,680,650,1070,,Herman Miller,Aeron (Size B),,,Black Mesh,,2500,2500,,1875,Contents,15,"Source: Herman Miller AU, approx AUD $2499, 2025"
200006,,,,,,Furniture,Seating,Task Chair,Mesh / Premium Humanscale,"Ergonomic task chair, 4D arms, mesh back",,,,,1,ea,660,640,1100,,Humanscale,Freedom,,,Black Mesh,,1800,1800,,1350,Contents,15,"Source: Humanscale AU, approx AUD $1799, 2025"
200007,,,,,,Furniture,Seating,Task Chair,Mesh / Contoured Nylon Base,"Mesh task chair, contoured back, nylon base",,,,,1,ea,660,640,1100,,Rapidline,EG400,,,Black Mesh,,550,550,,412.5,Contents,12,"Source: Rapidline.com.au, approx AUD $549, 2025"
200008,,,,,,Furniture,Seating,Task Chair,Fabric Seat Mesh Back,"Task chair, upholstered seat, mesh back, castors",,,,,1,ea,680,660,1100,,Steelcase,Leap V2,,,Charcoal Fabric,,2200,2200,,1650,Contents,15,"Source: Steelcase AU, approx AUD $2199, 2025"
200009,,,,,,Furniture,Seating,Task Chair,Fabric / Heavy Duty 150kg,"Heavy-duty operator chair, 150kg rated",,,,,1,ea,700,680,1150,,Buro,Tidal HD,,,Black Fabric,,750,750,,562.5,Contents,12,"Source: Buro.com.au, approx AUD $749, 2025"
200010,,,,,,Furniture,Seating,Visitor Chair,4-Leg / Upholstered,"4-leg visitor chair, upholstered seat & back",,,,,1,ea,545,545,800,,Buro,Elan,,,Charcoal Fabric,,280,280,,210,Contents,10,"Source: Officeworks, approx AUD $279, 2025"
200011,,,,,,Furniture,Seating,Visitor Chair,Cantilever / Chrome,"Chrome cantilever visitor chair, padded seat",,,,,1,ea,560,530,830,,Rapidline,CL100C,,,Black Fabric,,220,220,,165,Contents,10,"Source: Officeworks, approx AUD $219, 2025"
200012,,,,,,Furniture,Seating,Visitor Chair,Upholstered / Timber Legs,"Visitor chair, upholstered, wood legs",,,,,1,ea,530,530,810,,Buro,Jina,,,Charcoal Fabric,,350,350,,262.5,Contents,10,"Source: Winc, approx AUD $349, 2025"
200013,,,,,,Furniture,Seating,Visitor Chair,Stackable / Link Arms,Stackable visitor chair with link arms,,,,,1,ea,540,540,810,,Rapidline,Eternity,,,Black Fabric,,180,180,,135,Contents,10,"Source: Epic Office Furniture, approx AUD $179, 2025"
200014,,,,,,Furniture,Seating,Meeting Chair,Mesh / 4-Star Base,"Mesh back meeting chair, 4-star base",,,,,1,ea,560,530,880,,Buro,Mentor,,,Black Mesh,,380,380,,285,Contents,12,"Source: Buro.com.au, approx AUD $379, 2025"
200015,,,,,,Furniture,Seating,Meeting Chair,Fabric / Chrome Legs,"Upholstered meeting chair, chrome legs",,,,,1,ea,550,540,840,,Rapidline,Endeavour,,,Charcoal Fabric,,320,320,,240,Contents,10,"Source: Winc, approx AUD $319, 2025"
200016,,,,,,Furniture,Seating,Meeting Chair,Leather / Castors,"Premium meeting chair, leather, castors",,,,,1,ea,610,580,1000,,Buro,York,,,Black Leather,,650,650,,487.5,Contents,12,"Source: Buro.com.au, approx AUD $649, 2025"
200017,,,,,,Furniture,Seating,Meeting Chair,Mesh / 5-Star Castors,"Meeting chair, mesh back, 5-star base on castors",,,,,1,ea,590,560,900,,Humanscale,Diffrient World,,,Black Mesh,,1200,1200,,900,Contents,12,"Source: Humanscale AU, approx AUD $1199, 2025"
200018,,,,,,Furniture,Seating,Stacking Chair,Polypropylene / Indoor,Polypropylene 4-leg stacking chair,,,,,1,ea,490,490,810,,Rapidline,Air,,,White,,120,120,,90,Contents,10,"Source: Officeworks, approx AUD $119, 2025"
200019,,,,,,Furniture,Seating,Stacking Chair,Padded / Link Arms,"Padded stacking chair, linking arms",,,,,1,ea,520,490,830,,Rapidline,Activ,,,Charcoal Fabric,,160,160,,120,Contents,10,"Source: Epic Office Furniture, approx AUD $159, 2025"
200020,,,,,,Furniture,Seating,Stacking Chair,Steel Frame / Upholstered,"Steel frame stacking chair, upholstered",,,,,1,ea,520,495,840,,Rapidline,Nexus,,,Grey Fabric,,190,190,,142.5,Contents,10,"Source: Fast Office Furniture, approx AUD $189, 2025"
200021,,,,,,Furniture,Seating,Stacking Chair,Polypropylene / Heavy Duty,Heavy-duty polypropylene stacking chair,,,,,1,ea,490,490,800,,Rapidline,Pro 500,,,Black,,145,145,,108.75,Contents,10,"Source: Winc, approx AUD $145, 2025"
200022,,,,,,Furniture,Seating,Lounge Chair / Sofa,Single / Fabric,"Single lounge chair, fabric upholstery, timber legs",,,,,1,ea,800,800,760,,Instyle,Lyndon,,,Charcoal Fabric,,900,900,,675,Contents,12,"Source: Instyle.com.au, approx AUD $899, 2025"
200023,,,,,,Furniture,Seating,Lounge Chair / Sofa,Single / Vinyl Tub,"Reception tub chair, vinyl upholstery",,,,,1,ea,710,720,730,,Rapidline,Luna,,,Black Vinyl,,550,550,,412.5,Contents,12,"Source: Fast Office Furniture, approx AUD $549, 2025"
200024,,,,,,Furniture,Seating,Lounge Chair / Sofa,Single / Leather,"Executive lounge chair, genuine leather",,,,,1,ea,830,830,870,,Buro,Luxe,,,Black Leather,,1400,1400,,1050,Contents,15,"Source: Buro.com.au, approx AUD $1399, 2025"
200025,,,,,,Furniture,Seating,Lounge Chair / Sofa,2-seater / Fabric,"2-seat sofa, fabric upholstery, timber base",,,,,1,ea,1400,800,760,,Instyle,Lounge 2S,,,Charcoal Fabric,,1800,1800,,1350,Contents,12,"Source: Instyle.com.au, approx AUD $1799, 2025"
200026,,,,,,Furniture,Seating,Lounge Chair / Sofa,2-seater / Vinyl,"2-seat reception sofa, vinyl upholstery",,,,,1,ea,1350,720,730,,Rapidline,Luna 2S,,,Black Vinyl,,1100,1100,,825,Contents,12,"Source: Fast Office Furniture, approx AUD $1099, 2025"
200027,,,,,,Furniture,Seating,Lounge Chair / Sofa,3-seater / Fabric,"3-seat sofa, fabric upholstery, metal legs",,,,,1,ea,2000,800,760,,Instyle,Lounge 3S,,,Light Grey Fabric,,2400,2400,,1800,Contents,12,"Source: Instyle.com.au, approx AUD $2399, 2025"
200028,,,,,,Furniture,Seating,Lounge Chair / Sofa,3-seater / Vinyl,"3-seat reception sofa, vinyl",,,,,1,ea,1950,720,730,,Rapidline,Luna 3S,,,Black Vinyl,,1500,1500,,1125,Contents,12,"Source: Epic Office Furniture, approx AUD $1499, 2025"
200029,,,,,,Furniture,Seating,Bar Stool,Adjustable / Vinyl,"Adjustable height bar stool, chrome footrest",,,,,1,ea,430,430,630,,Rapidline,Alto,,,Black Vinyl,,250,250,,187.5,Contents,10,"Source: Officeworks, approx AUD $249, 2025"
200030,,,,,,Furniture,Seating,Bar Stool,Fixed / Timber,"Wooden bar stool, fixed height 750mm",,,,,1,ea,380,380,750,,Generic,Timber Stool,,,Natural Timber,,180,180,,135,Contents,10,"Source: Officeworks, approx AUD $179, 2025"
200031,,,,,,Furniture,Seating,Bar Stool,Swivel / Upholstered,"Padded swivel bar stool, gas lift",,,,,1,ea,430,430,650,,Buro,Alto Swivel,,,Black Fabric,,320,320,,240,Contents,10,"Source: Buro.com.au, approx AUD $319, 2025"
200032,,,,,,Furniture,Seating,Bench Seat,2-Seat / Upholstered,"2-seater upholstered bench seat, reception area",,,,,1,ea,1200,500,450,,Rapidline,Axiom 2S,,,Charcoal Fabric,,700,700,,525,Contents,12,"Source: Epic Office Furniture, approx AUD $699, 2025"
200033,,,,,,Furniture,Seating,Bench Seat,Backless / Timber,"Backless bench seat, timber frame",,,,,1,ea,1800,400,460,,Generic,Timber Bench,,,Natural Timber,,500,500,,375,Contents,12,"Source: Fast Office Furniture, approx AUD $499, 2025"
200034,,,,,,Furniture,Seating,Drafting Chair,Fabric Seat,"Draughtsman chair, height adjustable, footring",,,,,1,ea,530,520,950,,Buro,Vogue Draft,,,Black Fabric,,480,480,,360,Contents,10,"Source: Buro.com.au, approx AUD $479, 2025"
200035,,,,,,Furniture,Seating,Kneeling Chair,--,"Ergonomic kneeling chair, adjustable",,,,,1,ea,500,500,630,,Generic,Kneeler,,,Black Fabric,,220,220,,165,Contents,8,"Source: Officeworks, approx AUD $219, 2025"
200036,,,,,,Furniture,Seating,Training Chair,--,"Tablet-arm training chair, upholstered",,,,,1,ea,590,540,870,,Rapidline,Train,,,Black Fabric,,290,290,,217.5,Contents,10,"Source: Winc, approx AUD $289, 2025"
200037,,,,,,Furniture,Desks & Workstations,Straight Desk,1200mm,"Straight desk, 1200×750mm, laminate top",,,,,1,ea,1200,750,720,,Rapidline,Swift 1200,,,White,,350,350,,262.5,Contents,12,"Source: Officeworks, approx AUD $349, 2025"
200038,,,,,,Furniture,Desks & Workstations,Straight Desk,1500mm / Laminate,"Straight desk, 1500×750mm, laminate top",,,,,1,ea,1500,750,720,,Rapidline,Swift 1500,,,White,,420,420,,315,Contents,12,"Source: Officeworks, approx AUD $419, 2025"
200039,,,,,,Furniture,Desks & Workstations,Straight Desk,1800mm / Laminate,"Straight desk, 1800×800mm, laminate top",,,,,1,ea,1800,800,720,,Rapidline,Swift 1800,,,White,,520,520,,390,Contents,12,"Source: Winc, approx AUD $519, 2025"
200040,,,,,,Furniture,Desks & Workstations,Straight Desk,1500mm / Veneer,"Executive straight desk, 1500×750mm, timber veneer",,,,,1,ea,1500,750,730,,Arteil,Exec 1500,,,Walnut Veneer,,750,750,,562.5,Contents,15,"Source: Epic Office Furniture, approx AUD $749, 2025"
200041,,,,,,Furniture,Desks & Workstations,Straight Desk,1800mm / Veneer,"Executive straight desk, 1800×900mm, timber veneer",,,,,1,ea,1800,900,730,,Arteil,Exec 1800,,,Walnut Veneer,,950,950,,712.5,Contents,15,"Source: Epic Office Furniture, approx AUD $949, 2025"
200042,,,,,,Furniture,Desks & Workstations,Corner Desk,1500mm,"Corner workstation, 1500×1500mm, laminate",,,,,1,ea,1500,1500,720,,Rapidline,Corner 1500,,,White,,550,550,,412.5,Contents,12,"Source: Officeworks, approx AUD $549, 2025"
200043,,,,,,Furniture,Desks & Workstations,Corner Desk,1800mm / Laminate,"Corner workstation, 1800×1800mm, laminate",,,,,1,ea,1800,1800,720,,Rapidline,Corner 1800,,,White,,750,750,,562.5,Contents,12,"Source: Fast Office Furniture, approx AUD $749, 2025"
200044,,,,,,Furniture,Desks & Workstations,Corner Desk,1800mm / Veneer,"L-shaped executive desk, 1800×1800mm, veneer",,,,,1,ea,1800,1800,730,,Arteil,L-Exec,,,Walnut Veneer,,1200,1200,,900,Contents,15,"Source: Epic Office Furniture, approx AUD $1199, 2025"
